Location x1  x2  y  
NovaScotia  45.54  64.3  21.0  
NovaScotia  45.00  61.8  18.3  
Ontario     43.00  67.9  19.2  
Quebec      46.95  66.7  20.5  
CT          42.00  68.0  18.1  
CT          41.50  72.5  15.6  
FL          30.75  81.0  10.8  
GA          32.83  81.2  14.0  
IL          41.38  75.9  16.7  
IL          40.35  76.4  13.9  
IL          37.45  79.5  15.4  
IN          39.25  76.7  15.7  
IA          42.42  74.4  14.5  
IA          40.75  76.4  18.5  
ME          45.42  65.0  18.6  
MA          42.55  70.0  17.0  
MA          42.75  69.2  20.0  
MI          46.37  65.5  19.8  
MI          45.03  67.7  20.6  
MI          42.70  71.1  15.8  
MS          31.38  80.8  15.9  
NY          42.80  70.2  19.8  
NC          35.80  68.9  15.0  
OH          40.80  71.9  14.3  
OH          40.92  74.2  15.2  
OH          40.33  73.0  16.6  
OH          41.58  71.4  18.2  
PA          41.92  69.7  18.3  
PA          40.12  72.6  13.3  
TN          36.25  74.3  15.8  
VT          44.50  63.5  18.6  
VA          38.33  69.5  15.4  


