time forage grain pcfor weight relint
14.3 15.7 3.2 .831 622 .0304
12.9 15.4 3.2 .828 626 .0297
10.3 16.1 3.2 .834 516 .0374
13.1 15.7 3.2 .831 583 .0324
14.0 15.7 3.2 .831 622 .0304
15.0 15.4 3.2 .828 610 .0305
16.1 12.6 6.4 .663 633 .0300
15.5 13.0 6.5 .703 622 .0297
10.1 13.0 6.5 .703 510 .0363
12.7 12.5 6.4 .661 595 .0318
13.2 12.4 6.4 .660 624 .0301
13.4 12.7 6.5 .661 613 .0313
13.3 9.3 10.1 .479 608 .0319
13.9 8.9 10.1 .468 630 .0302
10.0 9.1 10.1 .474 503 .0382
10.8 9.3 10.1 .479 558 .0348
14.5 9.3 10.1 .479 594 .0327
10.2 9.1 10.1 .474 612 .0314
 9.5 5.7 13.8 .292 586 .0333
14.0 5.5 13.7 .286 601 .0319
11.0 5.5 13.7 .286 490 .0392
 6.1 5.7 13.8 .292 538 .0362
10.6 5.5 13.7 .286 610 .0315
